route_id,service_id,trip_id,trip_headsign,direction_id
3,weekday,trip_242,"DWARKA PURI",1
3,weekday,trip_243,"DWARKA PURI",1
3,weekday,trip_244,"DWARKA PURI",1
3,weekday,trip_245,"DWARKA PURI",1
3,weekday,trip_246,"DWARKA PURI",1
3,weekday,trip_247,"DWARKA PURI",1
3,weekday,trip_248,"DWARKA PURI",1
3,weekday,trip_249,"DWARKA PURI",1
3,weekday,trip_250,"DWARKA PURI",1
3,weekday,trip_251,"DWARKA PURI",1
3,weekday,trip_252,"DWARKA PURI",1
3,weekday,trip_253,"DWARKA PURI",1
3,weekday,trip_254,"DWARKA PURI",1
3,weekday,trip_255,"DWARKA PURI",1
3,weekday,trip_256,"DWARKA PURI",1
3,weekday,trip_257,"DWARKA PURI",1
3,weekday,trip_258,"DWARKA PURI",1
3,weekday,trip_259,"DWARKA PURI",1
3,weekday,trip_260,"DWARKA PURI",1
3,weekday,trip_261,"DWARKA PURI",1
3,weekday,trip_262,"DWARKA PURI",1
3,weekday,trip_263,"DWARKA PURI",1
3,weekday,trip_264,"DWARKA PURI",1
3,weekday,trip_265,"DWARKA PURI",1
3,weekday,trip_266,"DWARKA PURI",1
3,weekday,trip_267,"DWARKA PURI",1
3,weekday,trip_268,"DWARKA PURI",1
3,weekday,trip_269,"DWARKA PURI",1
3,weekday,trip_270,"DWARKA PURI",1
3,weekday,trip_271,"DWARKA PURI",1
3,weekday,trip_272,"DWARKA PURI",1
3,weekday,trip_273,"DWARKA PURI",1
3,weekday,trip_274,"DWARKA PURI",1
3,weekday,trip_275,"DWARKA PURI",1
3,weekday,trip_276,"DWARKA PURI",1
3,weekday,trip_277,"DWARKA PURI",1
3,weekday,trip_278,"DWARKA PURI",1
3,weekday,trip_279,"DWARKA PURI",1
3,weekday,trip_280,"DWARKA PURI",1
3,weekday,trip_281,"DWARKA PURI",1
3,weekday,trip_282,"DWARKA PURI",1
3,weekday,trip_283,"DWARKA PURI",1
3,weekday,trip_284,"DWARKA PURI",1
3,weekday,trip_285,"DWARKA PURI",1
3,weekday,trip_286,"DWARKA PURI",1
3,weekday,trip_287,"DWARKA PURI",1
3,weekday,trip_288,"DWARKA PURI",1
3,weekday,trip_289,"DWARKA PURI",1
3,weekday,trip_290,"DWARKA PURI",1
3,weekday,trip_291,"DWARKA PURI",1
3,weekday,trip_292,"DWARKA PURI",1
3,weekday,trip_293,"DWARKA PURI",1
3,weekday,trip_294,"DWARKA PURI",1
3,weekday,trip_295,"DWARKA PURI",1
3,weekday,trip_296,"DWARKA PURI",1
3,weekday,trip_297,"DWARKA PURI",1
3,weekday,trip_298,"DWARKA PURI",1
3,weekday,trip_299,"DWARKA PURI",1
3,weekday,trip_300,"DWARKA PURI",1
3,weekday,trip_301,"DWARKA PURI",1
3,weekday,trip_302,"DWARKA PURI",1
3,weekday,trip_303,"DWARKA PURI",1
3,weekday,trip_304,"DWARKA PURI",1
3,weekday,trip_305,"DWARKA PURI",1
3,weekday,trip_306,"DWARKA PURI",1
3,weekday,trip_307,"DWARKA PURI",1
3,weekday,trip_308,"DWARKA PURI",1
3,weekday,trip_309,"DWARKA PURI",1
3,weekday,trip_310,"DWARKA PURI",1
3,weekday,trip_311,"DWARKA PURI",1
3,weekday,trip_312,"DWARKA PURI",1
3,weekday,trip_313,"DWARKA PURI",1
3,weekday,trip_314,"DWARKA PURI",1
3,weekday,trip_315,"DWARKA PURI",1
3,weekday,trip_316,"DWARKA PURI",1
3,weekday,trip_317,"DWARKA PURI",1
3,weekday,trip_318,"DWARKA PURI",1
3,weekday,trip_319,"DWARKA PURI",1
3,weekday,trip_320,"DWARKA PURI",1
3,weekday,trip_321,"DWARKA PURI",1
3,weekday,trip_322,"DWARKA PURI",1
3,weekday,trip_323,"DWARKA PURI",1
3,weekday,trip_324,"DWARKA PURI",1
3,weekday,trip_325,"DWARKA PURI",1
3,weekday,trip_326,"DWARKA PURI",1
3,weekday,trip_327,"DWARKA PURI",1
3,weekday,trip_328,"DWARKA PURI",1
3,weekday,trip_329,"DWARKA PURI",1
3,weekday,trip_330,"DWARKA PURI",1
3,weekday,trip_331,"DWARKA PURI",1
3,weekday,trip_332,"DWARKA PURI",1
3,weekday,trip_333,"DWARKA PURI",1
3,weekday,trip_334,"DWARKA PURI",1
3,weekday,trip_335,"DWARKA PURI",1
3,weekday,trip_336,"DWARKA PURI",1
3,weekday,trip_337,"DWARKA PURI",1
3,weekday,trip_338,"DWARKA PURI",1
3,weekday,trip_339,"DWARKA PURI",1
3,weekday,trip_340,"DWARKA PURI",1
3,weekday,trip_341,"DWARKA PURI",1
3,weekday,trip_342,"DWARKA PURI",1
3,weekday,trip_343,"DWARKA PURI",1
3,weekday,trip_344,"DWARKA PURI",1
3A,weekday,trip_345,"SANGANER",0
3A,weekday,trip_346,"SANGANER",0
3A,weekday,trip_347,"SANGANER",0
3A,weekday,trip_348,"SANGANER",0
3A,weekday,trip_349,"SANGANER",0
3A,weekday,trip_350,"SANGANER",0
3A,weekday,trip_351,"SANGANER",0
3A,weekday,trip_352,"SANGANER",0
3A,weekday,trip_353,"SANGANER",0
3A,weekday,trip_354,"SANGANER",0
3A,weekday,trip_355,"SANGANER",0
3A,weekday,trip_356,"SANGANER",0
3A,weekday,trip_357,"SANGANER",0
3A,weekday,trip_358,"SANGANER",0
3A,weekday,trip_359,"SANGANER",0
3A,weekday,trip_360,"SANGANER",0
3A,weekday,trip_361,"SANGANER",0
3A,weekday,trip_362,"SANGANER",0
3A,weekday,trip_363,"SANGANER",0
3A,weekday,trip_364,"SANGANER",0
3A,weekday,trip_365,"SANGANER",0
3A,weekday,trip_366,"SANGANER",0
3A,weekday,trip_367,"SANGANER",0
3A,weekday,trip_368,"SANGANER",0
3A,weekday,trip_369,"SANGANER",0
3A,weekday,trip_370,"SANGANER",0
3A,weekday,trip_371,"SANGANER",0
3A,weekday,trip_372,"SANGANER",0
3A,weekday,trip_373,"SANGANER",0
3A,weekday,trip_374,"SANGANER",0
3A,weekday,trip_375,"SANGANER",0
3A,weekday,trip_376,"SANGANER",0
3A,weekday,trip_377,"SANGANER",0
3A,weekday,trip_378,"SANGANER",0
3A,weekday,trip_379,"SANGANER",0
3A,weekday,trip_380,"SANGANER",0
3A,weekday,trip_381,"SANGANER",0
3A,weekday,trip_382,"SANGANER",0
3A,weekday,trip_383,"SANGANER",0
3A,weekday,trip_384,"SANGANER",0
3A,weekday,trip_385,"SANGANER",0
3A,weekday,trip_386,"SANGANER",0
3A,weekday,trip_387,"SANGANER",0
3A,weekday,trip_388,"SANGANER",0
3A,weekday,trip_389,"SANGANER",0
3A,weekday,trip_390,"SANGANER",0
3A,weekday,trip_391,"SANGANER",0
3A,weekday,trip_392,"SANGANER",0
3A,weekday,trip_393,"SANGANER",0
3A,weekday,trip_394,"SANGANER",0
3A,weekday,trip_395,"SANGANER",0
3A,weekday,trip_396,"SANGANER",0
3A,weekday,trip_397,"SANGANER",0
3A,weekday,trip_398,"SANGANER",0
3A,weekday,trip_399,"SANGANER",0
3A,weekday,trip_400,"SANGANER",0
3A,weekday,trip_401,"SANGANER",0
3A,weekday,trip_402,"SANGANER",0
3A,weekday,trip_403,"SANGANER",0
3A,weekday,trip_404,"SANGANER",0
3A,weekday,trip_405,"SANGANER",0
3A,weekday,trip_406,"SANGANER",0
3A,weekday,trip_407,"SANGANER",0
3A,weekday,trip_408,"SANGANER",0
3A,weekday,trip_409,"SANGANER",0
3A,weekday,trip_410,"SANGANER",0
3A,weekday,trip_411,"SANGANER",0
3A,weekday,trip_412,"SANGANER",0
3A,weekday,trip_413,"SANGANER",0
3A,weekday,trip_414,"SANGANER",0
3A,weekday,trip_415,"SANGANER",0
3A,weekday,trip_416,"SANGANER",0
3A,weekday,trip_417,"SANGANER",0
3A,weekday,trip_418,"SANGANER",0
3A,weekday,trip_419,"SANGANER",0
3A,weekday,trip_420,"SANGANER",0
3A,weekday,trip_421,"SANGANER",0
3A,weekday,trip_422,"SANGANER",0
3A,weekday,trip_423,"SANGANER",0
3A,weekday,trip_424,"SANGANER",0
3A,weekday,trip_425,"SANGANER",0
3A,weekday,trip_426,"SANGANER",0
3A,weekday,trip_427,"SANGANER",0
3A,weekday,trip_428,"SANGANER",0
3A,weekday,trip_429,"SANGANER",0
3A,weekday,trip_430,"SANGANER",0
3A,weekday,trip_431,"SANGANER",0
3A,weekday,trip_432,"SANGANER",0
3A,weekday,trip_433,"SANGANER",0
3A,weekday,trip_434,"SANGANER",0
3A,weekday,trip_435,"SANGANER",0
3A,weekday,trip_436,"SANGANER",0
3A,weekday,trip_437,"SANGANER",0
3A,weekday,trip_438,"SANGANER",0
3A,weekday,trip_439,"SANGANER",0
3A,weekday,trip_440,"SANGANER",0
3A,weekday,trip_441,"SANGANER",0
3A,weekday,trip_442,"SANGANER",0
3A,weekday,trip_443,"SANGANER",0
3A,weekday,trip_444,"SANGANER",0
3A,weekday,trip_445,"SANGANER",0
3A,weekday,trip_446,"SANGANER",0
3A,weekday,trip_447,"SANGANER",0
3A,weekday,trip_448,"SANGANER",0
3A,weekday,trip_449,"SANGANER",0
3A,weekday,trip_450,"SANGANER",0
3A,weekday,trip_451,"SANGANER",0
3A,weekday,trip_452,"SANGANER",0
3A,weekday,trip_453,"SANGANER",0
3A,weekday,trip_454,"SANGANER",0
3A,weekday,trip_455,"SANGANER",0
3A,weekday,trip_456,"SANGANER",0
3A,weekday,trip_457,"SANGANER",0
3A,weekday,trip_458,"SANGANER",0
3A,weekday,trip_459,"SANGANER",0
3A,weekday,trip_460,"SANGANER",0
3A,weekday,trip_461,"SANGANER",0
3A,weekday,trip_462,"SANGANER",0
3A,weekday,trip_463,"SANGANER",0
3A,weekday,trip_464,"SANGANER",0
3A,weekday,trip_465,"SANGANER",0
3A,weekday,trip_466,"SANGANER",0
3A,weekday,trip_467,"SANGANER",0
3A,weekday,trip_468,"SANGANER",0
3A,weekday,trip_469,"SANGANER",0
3A,weekday,trip_470,"SANGANER",0
3A,weekday,trip_471,"SANGANER",0
3A,weekday,trip_472,"SANGANER",0
3A,weekday,trip_473,"SANGANER",0
3A,weekday,trip_474,"SANGANER",0
3A,weekday,trip_475,"SANGANER",0
3A,weekday,trip_476,"SANGANER",0
3A,weekday,trip_477,"SANGANER",0
3A,weekday,trip_478,"SANGANER",0
3A,weekday,trip_479,"SANGANER",0
3A,weekday,trip_480,"SANGANER",0
3A,weekday,trip_481,"SANGANER",0
3A,weekday,trip_482,"SANGANER",0
3A,weekday,trip_483,"SANGANER",0
3A,weekday,trip_484,"SANGANER",0
3A,weekday,trip_485,"SANGANER",0
3A,weekday,trip_486,"SANGANER",0
3A,weekday,trip_487,"SANGANER",0
3A,weekday,trip_488,"SANGANER",0
3A,weekday,trip_489,"SANGANER",0
3A,weekday,trip_490,"SANGANER",0
3A,weekday,trip_491,"SANGANER",0
3A,weekday,trip_492,"SANGANER",0
3A,weekday,trip_493,"SANGANER",0
3A,weekday,trip_494,"SANGANER",0
3A,weekday,trip_495,"SANGANER",0
3A,weekday,trip_496,"SANGANER",0
3A,weekday,trip_497,"SANGANER",0
3A,weekday,trip_498,"SANGANER",0
3A,weekday,trip_499,"SANGANER",0
3A,weekday,trip_500,"SANGANER",0
3A,weekday,trip_501,"SANGANER",0
3A,weekday,trip_502,"SANGANER",0
3A,weekday,trip_503,"SANGANER",0
3A,weekday,trip_504,"SANGANER",0
3A,weekday,trip_505,"SANGANER",0
3A,weekday,trip_506,"SANGANER",0
3A,weekday,trip_507,"SANGANER",0
3A,weekday,trip_508,"SANGANER",0
3A,weekday,trip_509,"SANGANER",0
3A,weekday,trip_510,"SANGANER",0
3A,weekday,trip_511,"SANGANER",0
3A,weekday,trip_512,"SANGANER",0
3A,weekday,trip_513,"SANGANER",0
3A,weekday,trip_514,"CHOTI CHOPAR",1
3A,weekday,trip_515,"CHOTI CHOPAR",1
3A,weekday,trip_516,"CHOTI CHOPAR",1
3A,weekday,trip_517,"CHOTI CHOPAR",1
3A,weekday,trip_518,"CHOTI CHOPAR",1
3A,weekday,trip_519,"CHOTI CHOPAR",1
3A,weekday,trip_520,"CHOTI CHOPAR",1
3A,weekday,trip_521,"CHOTI CHOPAR",1
3A,weekday,trip_522,"CHOTI CHOPAR",1
3A,weekday,trip_523,"CHOTI CHOPAR",1
3A,weekday,trip_524,"CHOTI CHOPAR",1
3A,weekday,trip_525,"CHOTI CHOPAR",1
3A,weekday,trip_526,"CHOTI CHOPAR",1
3A,weekday,trip_527,"CHOTI CHOPAR",1
3A,weekday,trip_528,"CHOTI CHOPAR",1
3A,weekday,trip_529,"CHOTI CHOPAR",1
3A,weekday,trip_530,"CHOTI CHOPAR",1
3A,weekday,trip_531,"CHOTI CHOPAR",1
3A,weekday,trip_532,"CHOTI CHOPAR",1
3A,weekday,trip_533,"CHOTI CHOPAR",1
3A,weekday,trip_534,"CHOTI CHOPAR",1
3A,weekday,trip_535,"CHOTI CHOPAR",1
3A,weekday,trip_536,"CHOTI CHOPAR",1
3A,weekday,trip_537,"CHOTI CHOPAR",1
3A,weekday,trip_538,"CHOTI CHOPAR",1
3A,weekday,trip_539,"CHOTI CHOPAR",1
3A,weekday,trip_540,"CHOTI CHOPAR",1
3A,weekday,trip_541,"CHOTI CHOPAR",1
3A,weekday,trip_542,"CHOTI CHOPAR",1
3A,weekday,trip_543,"CHOTI CHOPAR",1
3A,weekday,trip_544,"CHOTI CHOPAR",1
3A,weekday,trip_545,"CHOTI CHOPAR",1
3A,weekday,trip_546,"CHOTI CHOPAR",1
3A,weekday,trip_547,"CHOTI CHOPAR",1
3A,weekday,trip_548,"CHOTI CHOPAR",1
3A,weekday,trip_549,"CHOTI CHOPAR",1
3A,weekday,trip_550,"CHOTI CHOPAR",1
3A,weekday,trip_551,"CHOTI CHOPAR",1
3A,weekday,trip_552,"CHOTI CHOPAR",1
3A,weekday,trip_553,"CHOTI CHOPAR",1
3A,weekday,trip_554,"CHOTI CHOPAR",1
3A,weekday,trip_555,"CHOTI CHOPAR",1
3A,weekday,trip_556,"CHOTI CHOPAR",1
3A,weekday,trip_557,"CHOTI CHOPAR",1
3A,weekday,trip_558,"CHOTI CHOPAR",1
3A,weekday,trip_559,"CHOTI CHOPAR",1
3A,weekday,trip_560,"CHOTI CHOPAR",1
3A,weekday,trip_561,"CHOTI CHOPAR",1
3A,weekday,trip_562,"CHOTI CHOPAR",1
3A,weekday,trip_563,"CHOTI CHOPAR",1
3A,weekday,trip_564,"CHOTI CHOPAR",1
3A,weekday,trip_565,"CHOTI CHOPAR",1
3A,weekday,trip_566,"CHOTI CHOPAR",1
3A,weekday,trip_567,"CHOTI CHOPAR",1
3A,weekday,trip_568,"CHOTI CHOPAR",1
3A,weekday,trip_569,"CHOTI CHOPAR",1
3A,weekday,trip_570,"CHOTI CHOPAR",1
3A,weekday,trip_571,"CHOTI CHOPAR",1
3A,weekday,trip_572,"CHOTI CHOPAR",1
3A,weekday,trip_573,"CHOTI CHOPAR",1
3A,weekday,trip_574,"CHOTI CHOPAR",1
3A,weekday,trip_575,"CHOTI CHOPAR",1
3A,weekday,trip_576,"CHOTI CHOPAR",1
3A,weekday,trip_577,"CHOTI CHOPAR",1
3A,weekday,trip_578,"CHOTI CHOPAR",1
3A,weekday,trip_579,"CHOTI CHOPAR",1
3A,weekday,trip_580,"CHOTI CHOPAR",1
3A,weekday,trip_581,"CHOTI CHOPAR",1
3A,weekday,trip_582,"CHOTI CHOPAR",1
3A,weekday,trip_583,"CHOTI CHOPAR",1
3A,weekday,trip_584,"CHOTI CHOPAR",1
3A,weekday,trip_585,"CHOTI CHOPAR",1
3A,weekday,trip_586,"CHOTI CHOPAR",1
3A,weekday,trip_587,"CHOTI CHOPAR",1
3A,weekday,trip_588,"CHOTI CHOPAR",1
3A,weekday,trip_589,"CHOTI CHOPAR",1
3A,weekday,trip_590,"CHOTI CHOPAR",1
3A,weekday,trip_591,"CHOTI CHOPAR",1
